"","name","Dist","Fuel","Time","startTime"
"1","FBV 4392",3036,0,45.0666666666667,"2015-12-08 12:36:50"
"2","GJX 9016",4953,0,15.0333333333333,"2015-12-08 12:31:49"
"3","GJX 9016",8454,0,80.1333333333333,"2015-12-08 10:36:38"
"4","GJX 9016",528,0,5,"2015-12-08 10:31:38"
"5","CSG 1518",2606,0,30.05,"2015-12-08 11:51:46"
"6","FJC 9784",8656,6,120.083333333333,"2015-12-08 06:41:28"
"7","CSF 9067",13102,3,30.0166666666667,"2015-12-08 09:06:34"
"8","CZT 1033",6584,0,20,"2015-12-07 19:05:55"
"9","CZT 1033",7094,6,45.0166666666667,"2015-12-07 17:05:51"
"10","CZT 1033",0,6,5.01666666666667,"2015-12-07 16:00:49"
"11","FBV 4372",1323,0,65.05,"2015-12-08 08:01:31"
"12","FBV 4372",16059,0,40.0166666666667,"2015-12-07 16:05:50"
"13","FGZ 8612",8878,0,40.0333333333333,"2015-12-08 09:41:36"
"14","FGZ 8612",10861,0,50.0333333333333,"2015-12-08 08:21:32"
"15","FGZ 8612",3920,-43,30.0166666666667,"2015-12-08 05:41:25"
"16","FBV 4390",3064,3,45.0333333333333,"2015-12-08 07:51:31"
"17","FBV 4390",6121,-3,15.0166666666667,"2015-12-08 07:16:29"
"18","FBV 4390",54,0,5,"2015-12-08 01:31:14"
"19","FBV 4390",0,0,15,"2015-12-07 23:46:09"
"20","FBV 4390",6484,6,25.0166666666667,"2015-12-07 16:25:50"
"21","FBV 4438",2101,0,930.733333333333,"2015-12-07 19:15:55"
"22","FBV 4438",6674,0,50.0166666666667,"2015-12-07 18:10:53"
"23","FBV 4438",743,0,20.0166666666667,"2015-12-07 17:05:51"
"24","FHB 0248",5914,3,20.05,"2015-12-08 13:06:52"
"25","FHB 0248",6997,0,15,"2015-12-08 07:41:31"
"26","FHB 0248",13919,3,25.05,"2015-12-07 21:05:58"
"27","FHB 0248",6500,0,45.0166666666667,"2015-12-07 15:45:49"
"28","CSG 2238",19217,0,50.0333333333333,"2015-12-08 08:26:33"
"29","CSG 2238",23495,0,50.0333333333333,"2015-12-08 05:26:24"
"30","CSG 2238",0,0,5,"2015-12-07 15:30:49"
"31","FGZ 8806",0,0,55.0833333333333,"2015-12-08 11:51:46"
"32","FGZ 8806",1692,0,20.0333333333333,"2015-12-08 10:56:39"
"33","FGZ 8806",4930,0,20,"2015-12-07 19:10:55"
"34","FGZ 8806",1074,0,30.0166666666667,"2015-12-07 18:05:53"
"35","FBV 4430",0,0,5,"2015-12-08 01:46:14"
"36","FBV 4430",13278,0,25.0333333333333,"2015-12-08 00:36:10"
"37","FBV 4430",1793,0,15.0166666666667,"2015-12-07 22:21:05"
"38","FBV 4430",3562,0,15,"2015-12-07 21:56:05"
"39","FBV 4430",2771,0,20,"2015-12-07 17:20:52"
"40","FJC 9598",4888,0,25.0166666666667,"2015-12-08 09:51:36"
"41","FHB 0245",4947,0,10.0166666666667,"2015-12-08 10:11:37"
"42","CSF 9061",11437,3,25.05,"2015-12-08 12:56:51"
"43","CSF 9061",6372,0,25,"2015-12-07 19:50:56"
"44","CSF 9061",0,0,5.01666666666667,"2015-12-07 19:00:54"
"45","CSF 9061",2565,0,20,"2015-12-07 18:40:54"
"46","CYL 4640",3491,0,10,"2015-12-08 09:46:36"
