"","address","charging","engineType","exterior","fuel","interior","name","smartPhoneRequired","vin","City","Longitude","Latitude","Altitude"
"1","E 11th St 1487, 78702 Austin",NA,"CE","GOOD",100,"GOOD","CSF 9069","FALSE","WMEEJ3BA7EK733766","austin",-97.72514,30.26766,0
"2","E 1st St 2384, 78702 Austin",NA,"CE","GOOD",24,"GOOD","FBV 4383","FALSE","WMEEJ3BAXFK799407","austin",-97.71775,30.25513,0
"3","The Enclave - 1005 W Stassney Lane - 2 Spaces",NA,"CE","GOOD",100,"GOOD","FBV 4428","FALSE","WMEEJ3BA3FK799491","austin",-97.78589,30.2098,0
"4","W 16th St 471, 78701 Austin",NA,"CE","GOOD",90,"GOOD","FJC 9793","FALSE","WMEEJ3BA6FK801945","austin",-97.74339,30.27909,0
"5","E 9th St 618, 78701 Austin",NA,"CE","GOOD",39,"GOOD","FBV 4391","FALSE","WMEEJ3BA0FK799271","austin",-97.73589,30.26927,0
"6","W 6th St 1853, 78703 Austin",NA,"CE","GOOD",15,"GOOD","CK9 T374","FALSE","WMEEJ3BA0AK417460","austin",-97.76579,30.27634,0
"7","LCRA - Trade Center Dr",NA,"CE","GOOD",30,"GOOD","FHB 2832","FALSE","WMEEJ3BA9FK801907","austin",-97.71414,30.20749,0
"8","W 22 1/2 St 953, 78705 Austin",NA,"CE","GOOD",57,"GOOD","FGZ 8612","FALSE","WMEEJ3BA6FK800455","austin",-97.74725,30.28631,0
"9","Willow Hill Dr 2529, 78741 Austin",NA,"CE","GOOD",24,"GOOD","FHB 0201","FALSE","WMEEJ3BA9FK802121","austin",-97.72498,30.23316,0
"10","One Texas Center",NA,"CE","GOOD",45,"GOOD","FHB 2825","FALSE","WMEEJ3BA4FK802818","austin",-97.74942,30.25811,0
"11","Alameda Dr 1410, 78704 Austin",NA,"CE","GOOD",57,"GOOD","CK9 T375","FALSE","WMEEJ3BA3AK416755","austin",-97.74254,30.2474,0
"12","The Retreat at Barton Creek - South Entrance",NA,"CE","GOOD",24,"GOOD","FBV 4471","FALSE","WMEEJ3BA1FK802551","austin",-97.79195,30.23759,0
"13","Treehouse - 2501 Wickersham Lane - 3 Spaces",NA,"CE","GOOD",54,"GOOD","FHB 1675","FALSE","WMEEJ3BA3FK803216","austin",-97.72465,30.22479,0
"14","E 5th St 1768, 78702 Austin",NA,"CE","GOOD",36,"GOOD","CK9 T306","FALSE","WMEEJ3BA1AK417872","austin",-97.72461,30.26145,0
"15","Treadwell St 1245, 78704 Austin",NA,"CE","GOOD",30,"GOOD","GGG 3720","FALSE","WMEEJ3BA4FK801474","austin",-97.76094,30.25579,0
"16","Rainey St 64, 78701 Austin",NA,"CE","GOOD",100,"GOOD","CSG 1513","FALSE","WMEEJ3BAXEK736693","austin",-97.739,30.2581,0
"17","Manor Cir 2535, 78723 Austin",NA,"CE","GOOD",54,"GOOD","DBW 2626","FALSE","WMEEJ3BA5EK748251","austin",-97.68801,30.29699,0
"18","E 22nd St 2366, 78722 Austin",NA,"CE","GOOD",33,"GOOD","CYL 4628","FALSE","WMEEJ3BA8EK748969","austin",-97.71725,30.28362,0
"19","One Highland Center",NA,"CE","GOOD",100,"GOOD","FGZ 8617","FALSE","WMEEJ3BA0FK802525","austin",-97.71164,30.32867,0
"20","W 8th St 153, 78701 Austin",NA,"CE","GOOD",39,"GOOD","FBV 4434","FALSE","WMEEJ3BAXFK799388","austin",-97.74278,30.27011,0
"21","Neches St 339, 78701 Austin",NA,"CE","GOOD",100,"GOOD","FGZ 8806","FALSE","WMEEJ3BA9FK801762","austin",-97.73844,30.26547,0
"22","Esperanza Xing 3030, 78758 Austin",NA,"CE","GOOD",84,"GOOD","FJD 0199","FALSE","WMEEJ3BA3FK802874","austin",-97.72159,30.3991,0
"23","Cummings St 777, 78701 Austin",NA,"CE","GOOD",100,"GOOD","CSG 1539","FALSE","WMEEJ3BA5EK734494","austin",-97.7391,30.25547,0
"24","Willow St 1967, 78702 Austin",NA,"CE","GOOD",27,"GOOD","FHB 2856","FALSE","WMEEJ3BA0FK801410","austin",-97.72414,30.25591,0
"25","Kirkwood Rd 1481, 78722 Austin",NA,"CE","GOOD",57,"GOOD","FGZ 8624","FALSE","WMEEJ3BA5FK802777","austin",-97.71465,30.29497,0
"26","San Antonio St 776, 78701 Austin",NA,"CE","GOOD",39,"GOOD","FJD 0195","FALSE","WMEEJ3BA6FK801721","austin",-97.74679,30.27105,0
"27","LCRA - Trade Center Dr",NA,"CE","GOOD",90,"GOOD","CZS 9751","FALSE","WMEEJ3BA4EK748130","austin",-97.71414,30.20749,0
"28","Driskill St 631, 78701 Austin",NA,"CE","GOOD",33,"GOOD","CK9 T309","FALSE","WMEEJ3BA6AK416698","austin",-97.73866,30.26109,0
"29","University Village",NA,"CE","GOOD",100,"GOOD","FJD 0200","FALSE","WMEEJ3BA4FK802866","austin",-97.7118,30.23596,0
"30","Colorado St 1160, 78701 Austin",NA,"CE","GOOD",81,"GOOD","FBV 4354","FALSE","WMEEJ3BA2FK799496","austin",-97.74255,30.27412,0
"31","Campbell St 568, 78703 Austin",NA,"CE","GOOD",45,"GOOD","FBV 4378","FALSE","WMEEJ3BA3FK799197","austin",-97.76445,30.27558,0
"32","E 11th St 1249, 78702 Austin",NA,"CE","GOOD",42,"GOOD","CSF 9061","FALSE","WMEEJ3BA1EK733018","austin",-97.72678,30.26826,0
"33","Rainey St 46, 78701 Austin",NA,"CE","GOOD",100,"GOOD","FHB 2838","FALSE","WMEEJ3BA0FK800578","austin",-97.73997,30.25669,0
"34","Rabb Rd 1937, 78704 Austin",NA,"CE","GOOD",18,"GOOD","FHB 2826","FALSE","WMEEJ3BAXFK802547","austin",-97.77724,30.2544,0
"35","Mill St 824, 78702 Austin",NA,"CE","GOOD",42,"GOOD","FHB 0204","FALSE","WMEEJ3BA1FK802193","austin",-97.71913,30.26303,0
"36","Confederate St 1799, 78703 Austin",NA,"CE","GOOD",84,"GOOD","FBV 4468","FALSE","WMEEJ3BA2FK802378","austin",-97.76215,30.27881,0
"37","Campbell St 551, 78703 Austin",NA,"CE","GOOD",100,"GOOD","FHB 2865","FALSE","WMEEJ3BA3FK802468","austin",-97.76445,30.27532,0
"38","Drake Ave 1668, 78704 Austin",NA,"CE","GOOD",51,"UNACCEPTABLE","FHB 2899","FALSE","WMEEJ3BA0FK800676","austin",-97.74769,30.24648,0
"39","The Parking Spot",NA,"CE","GOOD",42,"GOOD","FHB 1337","FALSE","WMEEJ3BA6FK800391","austin",-97.67598,30.22049,0
"40","E 5th St 249, 78701 Austin",NA,"CE","GOOD",100,"GOOD","FBV 4440","FALSE","WMEEJ3BAXFK799245","austin",-97.7413,30.2666,0
"41","Kinney Oaks Ct 2844, 78704 Austin",NA,"CE","GOOD",100,"GOOD","CSF 8926","FALSE","WMEEJ3BA5EK733930","austin",-97.77414,30.24336,0
"42","Stephen F Austin Dr, 78703 Austin",NA,"CE","GOOD",60,"GOOD","CZT 0999","FALSE","WMEEJ3BA4EK748886","austin",-97.77,30.27447,0
