"","lat","lon","name"
"1",30.26856,-97.75005,"CSF 9069"
"2",30.26948,-97.74969,"CSF 9069"
"3",30.26994,-97.74952,"CSF 9069"
"4",30.27025,-97.75059,"CSF 9069"
"5",30.27053,-97.75137,"CSF 9069"
"6",30.27075,-97.75194,"CSF 9069"
"7",30.27113,-97.75294,"CSF 9069"
"8",30.27154,-97.75399,"CSF 9069"
"9",30.27111,-97.75421,"CSF 9069"
"10",30.27059,-97.75446,"CSF 9069"
"11",30.27048,-97.7545,"CSF 9069"
"12",30.27046,-97.75455,"CSF 9069"
"13",30.27045,-97.75457,"CSF 9069"
"14",30.27031,-97.75465,"CSF 9069"
"15",30.2692,-97.75514,"CSF 9069"
"16",30.26909,-97.75519,"CSF 9069"
"17",30.26798,-97.7557,"CSF 9069"
"18",30.26718,-97.75606,"CSF 9069"
"19",30.26708,-97.75604,"CSF 9069"
"20",30.26659,-97.75627,"CSF 9069"
"21",30.26625,-97.75642,"CSF 9069"
"22",30.26502,-97.75691,"CSF 9069"
"23",30.26487,-97.75701,"CSF 9069"
"24",30.26448,-97.75723,"CSF 9069"
"25",30.26376,-97.75753,"CSF 9069"
"26",30.26325,-97.75773,"CSF 9069"
"27",30.26172,-97.75831,"CSF 9069"
"28",30.26091,-97.75858,"CSF 9069"
"29",30.26072,-97.75857,"CSF 9069"
"30",30.26018,-97.75877,"CSF 9069"
"31",30.25965,-97.75893,"CSF 9069"
"32",30.25931,-97.75898,"CSF 9069"
"33",30.25902,-97.75903,"CSF 9069"
"34",30.25877,-97.75912,"CSF 9069"
"35",30.25827,-97.75938,"CSF 9069"
"36",30.25803,-97.75957,"CSF 9069"
"37",30.25775,-97.75991,"CSF 9069"
"38",30.25758,-97.76015,"CSF 9069"
"39",30.25694,-97.76088,"CSF 9069"
"40",30.25648,-97.76123,"CSF 9069"
"41",30.25572,-97.76168,"CSF 9069"
"42",30.25495,-97.76215,"CSF 9069"
"43",30.25424,-97.76258,"CSF 9069"
"44",30.25341,-97.76314,"CSF 9069"
"45",30.25303,-97.76345,"CSF 9069"
"46",30.25195,-97.76445,"CSF 9069"
"47",30.25121,-97.76517,"CSF 9069"
"48",30.2506,-97.76579,"CSF 9069"
"49",30.25033,-97.76612,"CSF 9069"
"50",30.2498,-97.76683,"CSF 9069"
"51",30.24959,-97.76716,"CSF 9069"
"52",30.24919,-97.76788,"CSF 9069"
"53",30.2488,-97.76876,"CSF 9069"
"54",30.24871,-97.76902,"CSF 9069"
"55",30.24856,-97.76945,"CSF 9069"
"56",30.24783,-97.77211,"CSF 9069"
"57",30.24763,-97.77279,"CSF 9069"
"58",30.24742,-97.77415,"CSF 9069"
"59",30.24713,-97.77634,"CSF 9069"
"60",30.24691,-97.77724,"CSF 9069"
"61",30.24676,-97.77766,"CSF 9069"
"62",30.24652,-97.77816,"CSF 9069"
"63",30.24632,-97.77852,"CSF 9069"
"64",30.24619,-97.77873,"CSF 9069"
"65",30.24535,-97.77991,"CSF 9069"
"66",30.24482,-97.78062,"CSF 9069"
"67",30.2443,-97.78133,"CSF 9069"
"68",30.24316,-97.78152,"CSF 9069"
"69",30.24285,-97.78159,"CSF 9069"
"70",30.24264,-97.78169,"CSF 9069"
"71",30.24246,-97.78179,"CSF 9069"
"72",30.24199,-97.78212,"CSF 9069"
"73",30.24177,-97.78223,"CSF 9069"
"74",30.24154,-97.78226,"CSF 9069"
"75",30.24087,-97.7822,"CSF 9069"
"76",30.24028,-97.78217,"CSF 9069"
"77",30.24009,-97.78219,"CSF 9069"
"78",30.23994,-97.78224,"CSF 9069"
"79",30.23874,-97.7828,"CSF 9069"
"80",30.23839,-97.78296,"CSF 9069"
"81",30.23836,-97.7828,"CSF 9069"
"82",30.23832,-97.78262,"CSF 9069"
"83",30.23827,-97.78247,"CSF 9069"
"84",30.23785,-97.78164,"CSF 9069"
"85",30.23761,-97.78126,"CSF 9069"
"86",30.23702,-97.78162,"CSF 9069"
"87",30.23638,-97.78203,"CSF 9069"
