"","lat","lon","startTime","name"
"1",30.26856,-97.75005,"2015-12-07 13:50:46","CSF 9069"
"2",30.26948,-97.74969,"2015-12-07 13:50:46","CSF 9069"
"3",30.26994,-97.74952,"2015-12-07 13:50:46","CSF 9069"
"4",30.27025,-97.75059,"2015-12-07 13:50:46","CSF 9069"
"5",30.27053,-97.75137,"2015-12-07 13:50:46","CSF 9069"
"6",30.27075,-97.75194,"2015-12-07 13:50:46","CSF 9069"
"7",30.27113,-97.75294,"2015-12-07 13:50:46","CSF 9069"
"8",30.27154,-97.75399,"2015-12-07 13:50:46","CSF 9069"
"9",30.27111,-97.75421,"2015-12-07 13:50:46","CSF 9069"
"10",30.27059,-97.75446,"2015-12-07 13:50:46","CSF 9069"
"11",30.27048,-97.7545,"2015-12-07 13:50:46","CSF 9069"
"12",30.27046,-97.75455,"2015-12-07 13:50:46","CSF 9069"
"13",30.27045,-97.75457,"2015-12-07 13:50:46","CSF 9069"
"14",30.27031,-97.75465,"2015-12-07 13:50:46","CSF 9069"
"15",30.2692,-97.75514,"2015-12-07 13:50:46","CSF 9069"
"16",30.26909,-97.75519,"2015-12-07 13:50:46","CSF 9069"
"17",30.26798,-97.7557,"2015-12-07 13:50:46","CSF 9069"
"18",30.26718,-97.75606,"2015-12-07 13:50:46","CSF 9069"
"19",30.26708,-97.75604,"2015-12-07 13:50:46","CSF 9069"
"20",30.26659,-97.75627,"2015-12-07 13:50:46","CSF 9069"
"21",30.26625,-97.75642,"2015-12-07 13:50:46","CSF 9069"
"22",30.26502,-97.75691,"2015-12-07 13:50:46","CSF 9069"
"23",30.26487,-97.75701,"2015-12-07 13:50:46","CSF 9069"
"24",30.26448,-97.75723,"2015-12-07 13:50:46","CSF 9069"
"25",30.26376,-97.75753,"2015-12-07 13:50:46","CSF 9069"
"26",30.26325,-97.75773,"2015-12-07 13:50:46","CSF 9069"
"27",30.26172,-97.75831,"2015-12-07 13:50:46","CSF 9069"
"28",30.26091,-97.75858,"2015-12-07 13:50:46","CSF 9069"
"29",30.26072,-97.75857,"2015-12-07 13:50:46","CSF 9069"
"30",30.26018,-97.75877,"2015-12-07 13:50:46","CSF 9069"
"31",30.25965,-97.75893,"2015-12-07 13:50:46","CSF 9069"
"32",30.25931,-97.75898,"2015-12-07 13:50:46","CSF 9069"
"33",30.25902,-97.75903,"2015-12-07 13:50:46","CSF 9069"
"34",30.25877,-97.75912,"2015-12-07 13:50:46","CSF 9069"
"35",30.25827,-97.75938,"2015-12-07 13:50:46","CSF 9069"
"36",30.25803,-97.75957,"2015-12-07 13:50:46","CSF 9069"
"37",30.25775,-97.75991,"2015-12-07 13:50:46","CSF 9069"
"38",30.25758,-97.76015,"2015-12-07 13:50:46","CSF 9069"
"39",30.25694,-97.76088,"2015-12-07 13:50:46","CSF 9069"
"40",30.25648,-97.76123,"2015-12-07 13:50:46","CSF 9069"
"41",30.25572,-97.76168,"2015-12-07 13:50:46","CSF 9069"
"42",30.25495,-97.76215,"2015-12-07 13:50:46","CSF 9069"
"43",30.25424,-97.76258,"2015-12-07 13:50:46","CSF 9069"
"44",30.25341,-97.76314,"2015-12-07 13:50:46","CSF 9069"
"45",30.25289,-97.76357,"2015-12-07 13:50:46","CSF 9069"
"46",30.25195,-97.76445,"2015-12-07 13:50:46","CSF 9069"
"47",30.25121,-97.76517,"2015-12-07 13:50:46","CSF 9069"
"48",30.2506,-97.76579,"2015-12-07 13:50:46","CSF 9069"
"49",30.25033,-97.76612,"2015-12-07 13:50:46","CSF 9069"
"50",30.2498,-97.76683,"2015-12-07 13:50:46","CSF 9069"
"51",30.24959,-97.76716,"2015-12-07 13:50:46","CSF 9069"
"52",30.24919,-97.76788,"2015-12-07 13:50:46","CSF 9069"
"53",30.24899,-97.76829,"2015-12-07 13:50:46","CSF 9069"
"54",30.24889,-97.76856,"2015-12-07 13:50:46","CSF 9069"
"55",30.24859,-97.76939,"2015-12-07 13:50:46","CSF 9069"
"56",30.24835,-97.77024,"2015-12-07 13:50:46","CSF 9069"
"57",30.24783,-97.77211,"2015-12-07 13:50:46","CSF 9069"
"58",30.24763,-97.77279,"2015-12-07 13:50:46","CSF 9069"
"59",30.24742,-97.77415,"2015-12-07 13:50:46","CSF 9069"
"60",30.24713,-97.77634,"2015-12-07 13:50:46","CSF 9069"
"61",30.24691,-97.77724,"2015-12-07 13:50:46","CSF 9069"
"62",30.24676,-97.77766,"2015-12-07 13:50:46","CSF 9069"
"63",30.24652,-97.77816,"2015-12-07 13:50:46","CSF 9069"
"64",30.24632,-97.77852,"2015-12-07 13:50:46","CSF 9069"
"65",30.24619,-97.77873,"2015-12-07 13:50:46","CSF 9069"
"66",30.24535,-97.77991,"2015-12-07 13:50:46","CSF 9069"
"67",30.24482,-97.78062,"2015-12-07 13:50:46","CSF 9069"
