"","X","name","Dist","Fuel","Time","startTime","miles"
"1",1,"FBV 4392",3036,0,40,2015-12-08 12:36:50,1.88688626476072
"2",2,"GJX 9016",4953,0,10,2015-12-08 12:31:49,3.07830950901181
"3",3,"GJX 9016",8454,0,75,2015-12-08 10:36:38,5.25419515226849
"4",4,"GJX 9016",528,0,0,2015-12-08 10:31:38,0.328154133001865
"5",5,"CSG 1518",2606,0,25,2015-12-08 11:51:46,1.61963952765693
"6",6,"FJC 9784",8656,6,115,2015-12-08 06:41:28,5.37973896830329
"7",7,"CSF 9067",13102,3,25,2015-12-08 09:06:34,8.14294592914854
"8",8,"CZT 1033",6584,0,15,2015-12-07 19:05:55,4.09198259788689
"9",9,"CZT 1033",7094,6,40,2015-12-07 17:05:51,4.40894965817278
"10",10,"CZT 1033",0,6,0,2015-12-07 16:00:49,0
"11",11,"FBV 4372",1323,0,60,2015-12-08 08:01:31,0.82224984462399
"12",12,"FBV 4372",16059,0,35,2015-12-07 16:05:50,9.98073337476694
"13",13,"FGZ 8612",8878,0,35,2015-12-08 09:41:36,5.51771286513362
"14",14,"FGZ 8612",10861,0,45,2015-12-08 08:21:32,6.75015537600994
"15",15,"FGZ 8612",3920,-43,25,2015-12-08 05:41:25,2.43629583592293
"16",16,"FBV 4390",3064,3,40,2015-12-08 07:51:31,1.90428837787446
"17",17,"FBV 4390",6121,-3,10,2015-12-08 07:16:29,3.80422622747048
"18",18,"FBV 4390",54,0,0,2015-12-08 01:31:14,0.033561218147918
"19",19,"FBV 4390",0,0,10,2015-12-07 23:46:09,0
"20",20,"FBV 4390",6484,6,20,2015-12-07 16:25:50,4.02983219390926
"21",21,"FBV 4438",2101,0,926,2015-12-07 19:15:55,1.30577998756992
"22",22,"FBV 4438",6674,0,45,2015-12-07 18:10:53,4.14791796146675
"23",23,"FBV 4438",743,0,15,2015-12-07 17:05:51,0.46177750155376
"24",24,"FHB 0248",5914,3,15,2015-12-08 13:06:52,3.67557489123679
"25",25,"FHB 0248",6997,0,10,2015-12-08 07:41:31,4.34866376631448
"26",26,"FHB 0248",13919,3,20,2015-12-07 21:05:58,8.65071472964574
"27",27,"FHB 0248",6500,0,40,2015-12-07 15:45:49,4.03977625854568
"28",28,"CSG 2238",19217,0,45,2015-12-08 08:26:33,11.9434431323804
"29",29,"CSG 2238",23495,0,45,2015-12-08 05:26:24,14.6022374145432
"30",30,"CSG 2238",0,0,0,2015-12-07 15:30:49,0
"31",31,"FGZ 8806",0,0,50,2015-12-08 11:51:46,0
"32",32,"FGZ 8806",1692,0,15,2015-12-08 10:56:39,1.05158483530143
"33",33,"FGZ 8806",4930,0,15,2015-12-07 19:10:55,3.06401491609695
"34",34,"FGZ 8806",1074,0,25,2015-12-07 18:05:53,0.667495338719702
"35",35,"FBV 4430",0,0,0,2015-12-08 01:46:14,0
"36",36,"FBV 4430",13278,0,20,2015-12-08 00:36:10,8.25233064014916
"37",37,"FBV 4430",1793,0,10,2015-12-07 22:21:05,1.11435674331883
"38",38,"FBV 4430",3562,0,10,2015-12-07 21:56:05,2.21379738968303
"39",39,"FBV 4430",2771,0,15,2015-12-07 17:20:52,1.72218769422001
"40",40,"FJC 9598",4888,0,20,2015-12-08 09:51:36,3.03791174642635
"41",41,"FHB 0245",4947,0,5,2015-12-08 10:11:37,3.07458048477315
"42",42,"CSF 9061",11437,3,20,2015-12-08 12:56:51,7.10814170292107
"43",43,"CSF 9061",6372,0,20,2015-12-07 19:50:56,3.96022374145432
"44",44,"CSF 9061",0,0,0,2015-12-07 19:00:54,0
"45",45,"CSF 9061",2565,0,15,2015-12-07 18:40:54,1.5941578620261
"46",46,"CYL 4640",3491,0,5,2015-12-08 09:46:36,2.16967060285892
"47",47,"CYL 4640",2346,0,35,2015-12-08 08:01:31,1.4580484773151
"48",48,"FGZ 8685",3977,0,25,2015-12-08 11:16:41,2.47172156619018
"49",49,"FGZ 8685",22123,0,35,2015-12-08 10:31:38,13.7495338719702
"50",50,"FHB 2842",4291,3,20,2015-12-08 11:06:41,2.66687383467993
"51",51,"FHB 2842",2927,3,25,2015-12-08 09:21:35,1.81914232442511
"52",52,"FHB 2842",0,0,15,2015-12-08 07:51:31,0
"53",53,"FHB 2842",16565,0,25,2015-12-07 16:25:50,10.2952144188937
"54",54,"FGZ 8611",24529,4,50,2015-12-08 12:31:49,15.2448725916718
"55",55,"FGZ 8611",7853,0,25,2015-12-08 11:46:46,4.88067122436296
"56",56,"FGZ 8611",2694,0,30,2015-12-08 10:11:37,1.67433188315724
"57",57,"FGZ 8611",1606,-91,125,2015-12-08 07:11:29,0.998135487880671
"58",58,"FGZ 8611",3071,3,15,2015-12-07 16:30:50,1.90863890615289
"59",59,"FGZ 8687",2016,0,10,2015-12-08 00:11:09,1.25295214418894
"60",60,"FGZ 8687",8500,0,40,2015-12-07 18:40:54,5.2827843380982
"61",61,"FGZ 8687",4645,0,25,2015-12-07 17:45:52,2.88688626476072
"62",62,"FBV 4370",17093,15,40,2015-12-08 12:21:49,10.6233685518956
"63",63,"FBV 4370",3336,3,20,2015-12-08 10:31:38,2.0733374766936
"64",64,"FBV 4370",4678,4,30,2015-12-08 09:06:34,2.90739589807334
"65",65,"FBV 4370",1096,-10,20,2015-12-07 22:41:06,0.681168427594779
"66",66,"FBV 4370",6286,6,45,2015-12-07 21:36:01,3.90677439403356
"67",67,"FBV 4370",2108,0,15,2015-12-07 18:20:53,1.31013051584835
"68",68,"FBV 4370",3640,0,25,2015-12-07 15:20:49,2.26227470478558
"69",69,"FJC 9786",4636,0,45,2015-12-08 08:11:32,2.88129272840273
"70",70,"FJC 9786",8617,0,15,2015-12-07 21:51:04,5.35550031075202
"71",71,"FJC 9786",6120,0,35,2015-12-07 20:50:57,3.8036047234307
"72",72,"FBV 4367",13220,3,15,2015-12-08 09:16:35,8.21628340584214
"73",73,"FBV 4367",0,0,30,2015-12-08 08:36:33,0
"74",74,"FBV 4367",2759,0,15,2015-12-07 21:05:58,1.7147296457427
"75",75,"FBV 4367",766,3,25,2015-12-07 19:40:56,0.476072094468614
"76",76,"FBV 4367",806,0,0,2015-12-07 19:15:55,0.500932256059664
"77",77,"FBV 4367",5660,0,15,2015-12-07 14:25:47,3.51771286513362
"78",78,"CK9 T264",2963,0,50,2015-12-08 12:16:48,1.84151646985705
"79",79,"CK9 T264",1067,0,35,2015-12-08 10:51:39,0.663144810441268
"80",80,"CK9 T264",3165,0,20,2015-12-08 08:11:32,1.96706028589186
"81",81,"CK9 T264",2954,0,15,2015-12-07 18:30:54,1.83592293349907
"82",82,"CK9 T264",3561,0,20,2015-12-07 17:55:53,2.21317588564326
"83",83,"CK9 T264",3679,0,45,2015-12-07 16:50:51,2.28651336233685
"84",84,"FHB 2825",2744,0,15,2015-12-07 21:00:58,1.70540708514605
"85",85,"FHB 2825",1210,3,45,2015-12-07 18:30:54,0.752019888129273
"86",86,"FHB 2825",1216,0,100,2015-12-07 16:30:50,0.75574891236793
"87",87,"FHB 2825",1139,0,5,2015-12-07 16:00:49,0.707893101305158
"88",88,"FHB 2825",2911,3,15,2015-12-07 14:05:47,1.80919825978869
"89",89,"FHB 1679",15,0,50,2015-12-08 11:36:45,0.00932256059664388
"90",90,"FHB 1679",878,0,5,2015-12-07 15:05:48,0.545680546923555
"91",91,"CZT 0933",10386,3,40,2015-12-07 16:35:51,6.45494095711622
"92",92,"FHB 2844",2286,0,40,2015-12-08 10:21:38,1.42075823492853
"93",93,"FHB 2844",6962,0,15,2015-12-08 06:46:28,4.32691112492231
"94",94,"FHB 2844",2820,0,5,2015-12-07 14:30:47,1.75264139216905
"95",95,"FBV 4425",5315,3,20,2015-12-08 11:46:46,3.30329397141081
"96",96,"FBV 4425",1163,0,5,2015-12-08 01:46:14,0.722809198259789
"97",97,"FBV 4425",2212,0,5,2015-12-08 00:46:12,1.37476693598508
"98",98,"FBV 4425",6187,0,15,2015-12-07 21:20:58,3.84524549409571
"99",99,"FBV 4425",3039,3,20,2015-12-07 18:55:54,1.88875077688005
"100",100,"FBV 4425",3108,0,15,2015-12-07 18:20:53,1.93163455562461
"101",101,"FHB 1676",4349,3,25,2015-12-08 09:11:34,2.70292106898695
"102",102,"FHB 1676",4128,0,15,2015-12-07 17:45:52,2.5655686761964
"103",103,"FHB 1676",3148,3,15,2015-12-07 17:05:51,1.95649471721566
"104",104,"FHB 1676",2897,0,30,2015-12-07 15:55:49,1.80049720323182
"105",105,"FHB 2833",13698,10,25,2015-12-08 11:56:46,8.51336233685519
"106",106,"FGZ 8811",534,3,85,2015-12-08 11:16:41,0.331883157240522
"107",107,"FGZ 8811",2474,0,40,2015-12-08 09:56:36,1.53760099440646
"108",108,"FGZ 8811",3448,3,70,2015-12-07 17:50:52,2.14294592914854
"109",109,"FGZ 8811",4349,6,35,2015-12-07 16:25:50,2.70292106898695
"110",110,"FGZ 8811",1746,3,10,2015-12-07 14:50:48,1.08514605344935
"111",111,"FGZ 9137",4029,3,5,2015-12-07 19:50:56,2.50403977625855
"112",112,"FGZ 9137",33,3,60,2015-12-07 18:35:54,0.0205096333126165
"113",113,"FGZ 9137",2455,0,20,2015-12-07 17:10:51,1.52579241765071
"114",114,"FGZ 9137",2614,4,30,2015-12-07 15:15:48,1.62461155997514
"115",115,"FGZ 9137",77,0,15,2015-12-07 14:10:47,0.0478558110627719
"116",116,"CSF 8929",1974,0,10,2015-12-08 13:06:52,1.22684897451833
"117",117,"CSF 8929",1699,0,15,2015-12-08 12:16:48,1.05593536357986
"118",118,"CSF 8929",4218,0,20,2015-12-08 09:21:35,2.62150403977626
"119",119,"CSF 8929",4662,0,15,2015-12-07 23:16:08,2.89745183343692
"120",120,"CSF 8929",2374,0,20,2015-12-07 16:40:51,1.47545059042884
"121",121,"FGZ 8617",1,0,0,2015-12-08 01:16:13,0.000621504039776259
"122",122,"FGZ 8621",12164,0,20,2015-12-07 18:55:54,7.55997513983841
"123",123,"FGZ 8621",918,3,15,2015-12-07 18:35:54,0.570540708514605
"124",124,"FHB 1328",5552,3,20,2015-12-07 15:35:49,3.45059042883779
"125",125,"FGZ 8677",3949,0,15,2015-12-07 20:15:56,2.45431945307645
"126",126,"FGZ 8677",5364,3,35,2015-12-07 17:40:52,3.33374766935985
"127",127,"FHB 2830",3257,0,-15,2015-12-07 19:45:56,2.02423865755127
"128",128,"FHB 2830",11677,6,95,2015-12-07 17:20:52,7.25730267246737
"129",129,"FHB 2830",5698,3,85,2015-12-07 15:35:49,3.54133001864512
"130",130,"FGZ 8679",1700,-73,150,2015-12-08 07:51:31,1.05655686761964
"131",131,"CZT 1028",2247,0,25,2015-12-08 09:01:34,1.39651957737725
"132",132,"FBV 4472",4704,3,15,2015-12-08 08:41:33,2.92355500310752
"133",133,"FBV 4472",3174,0,15,2015-12-08 08:11:32,1.97265382224984
"134",134,"CZT 0996",519,3,100,2015-12-08 11:31:42,0.322560596643878
"135",135,"CZT 0996",10835,3,30,2015-12-08 09:21:35,6.73399627097576
"136",136,"CSF 9062",2011,0,35,2015-12-08 07:41:31,1.24984462399006
"137",137,"CSF 9062",2450,3,35,2015-12-07 16:00:49,1.52268489745183
"138",138,"FGZ 8801",10896,3,15,2015-12-08 08:56:34,6.77190801740211
"139",139,"FGZ 8801",2172,0,10,2015-12-07 19:30:55,1.34990677439403
"140",140,"FGZ 8627",4598,3,35,2015-12-08 07:36:30,2.85767557489124
"141",141,"FGZ 8627",1104,0,5,2015-12-08 06:41:28,0.686140459912989
"142",142,"FGZ 8627",9870,3,50,2015-12-08 05:01:23,6.13424487259167
"143",143,"FGZ 8627",6307,0,30,2015-12-07 16:40:51,3.91982597886886
"144",144,"FGZ 8613",3057,0,10,2015-12-08 08:56:34,1.89993784959602
"145",145,"FGZ 8613",2927,0,20,2015-12-07 17:50:52,1.81914232442511
"146",146,"FGZ 8613",816,0,20,2015-12-07 17:25:52,0.507147296457427
"147",147,"CZS 9744",945,0,5,2015-12-08 10:56:39,0.587321317588564
"148",148,"CZS 9744",5670,3,10,2015-12-08 09:11:34,3.52392790553139
"149",149,"CZS 9744",7110,0,20,2015-12-07 23:31:09,4.4188937228092
"150",150,"CZS 9744",869,0,5,2015-12-07 18:05:53,0.540087010565569
"151",151,"FBV 4380",6772,3,40,2015-12-08 12:01:46,4.20882535736482
"152",152,"FBV 4380",1809,0,35,2015-12-08 08:36:33,1.12430080795525
"153",153,"FBV 4380",3868,0,10,2015-12-07 23:16:08,2.40397762585457
"154",154,"FBV 4380",131,3,70,2015-12-07 18:05:53,0.0814170292106899
"155",155,"FBV 4380",3760,0,10,2015-12-07 17:00:51,2.33685518955873
"156",156,"FHB 2855",1456,0,10,2015-12-08 10:06:37,0.904909881914232
"157",157,"FHB 2855",1827,0,35,2015-12-07 19:05:55,1.13548788067122
"158",158,"FHB 2855",1606,0,35,2015-12-07 17:50:52,0.998135487880671
"159",159,"CZT 0917",316,3,25,2015-12-07 18:05:53,0.196395276569298
"160",160,"FBV 4475",1755,0,10,2015-12-08 07:56:31,1.09073958980733
"161",161,"FBV 4475",4105,0,30,2015-12-08 02:11:15,2.55127408328154
"162",162,"CZT 1031",4154,0,15,2015-12-07 19:45:56,2.58172778123058
"163",163,"CZT 1031",2763,0,40,2015-12-07 18:35:54,1.7172156619018
"164",164,"CZT 1031",1036,0,5,2015-12-07 16:55:51,0.643878185208204
"165",165,"FJC 9932",2506,3,20,2015-12-08 09:41:36,1.5574891236793
"166",166,"FJC 9932",1196,6,100,2015-12-08 07:41:31,0.743318831572405
"167",167,"FJC 9932",1364,0,5,2015-12-07 18:45:54,0.847731510254817
"168",168,"FJC 9932",3525,3,15,2015-12-07 17:15:51,2.19080174021131
"169",169,"CK9 T292",400,3,100,2015-12-07 19:00:54,0.248601615910503
"170",170,"CK9 T292",8873,0,25,2015-12-07 17:45:52,5.51460534493474
"171",171,"FHB 2859",4950,0,250,2015-12-07 15:05:48,3.07644499689248
"172",172,"CYL 4638",11406,0,60,2015-12-08 08:01:31,7.08887507768801
"173",173,"CYL 4638",3873,0,45,2015-12-07 17:05:51,2.40708514605345
"174",174,"CZS 9746",3728,3,20,2015-12-08 12:41:50,2.31696706028589
"175",175,"CZS 9746",3898,3,135,2015-12-08 09:01:34,2.42262274704786
"176",176,"CZS 9746",2847,0,30,2015-12-08 08:21:32,1.76942200124301
"177",177,"CZS 9746",735,0,10,2015-12-07 15:50:49,0.45680546923555
"178",178,"CZS 9746",3593,3,15,2015-12-07 14:05:47,2.2330640149161
"179",179,"CK9 T267",5568,0,55,2015-12-07 22:46:07,3.46053449347421
"180",180,"FHB 2840",698,0,15,2015-12-08 13:11:53,0.433809819763828
"181",181,"FHB 2840",1656,0,20,2015-12-07 19:05:55,1.02921068986948
"182",182,"FHB 2840",7001,3,25,2015-12-07 18:10:53,4.35114978247359
"183",183,"FHB 2840",1596,0,5,2015-12-07 17:20:52,0.991920447482909
"184",184,"FHB 2840",1660,0,5,2015-12-07 16:55:51,1.03169670602859
"185",185,"FHB 2840",0,0,0,2015-12-07 16:10:50,0
"186",186,"FHB 2840",7712,3,20,2015-12-07 14:50:48,4.79303915475451
"187",187,"FHB 2840",1539,0,40,2015-12-07 13:50:46,0.956494717215662
"188",188,"FGZ 8689",5346,0,15,2015-12-08 12:21:49,3.32256059664388
"189",189,"FGZ 8689",0,0,130,2015-12-08 10:06:37,0
"190",190,"FGZ 8689",4979,3,35,2015-12-08 08:01:31,3.09446861404599
"191",191,"FGZ 8689",4232,0,25,2015-12-07 17:40:52,2.63020509633313
"192",192,"FGZ 8689",2306,3,15,2015-12-07 17:15:51,1.43318831572405
"193",193,"FGZ 8689",998,3,75,2015-12-07 15:25:49,0.620261031696706
"194",194,"FGZ 8689",952,0,10,2015-12-07 14:15:47,0.591671845866998
"195",195,"FGZ 8689",2295,3,20,2015-12-07 13:50:46,1.42635177128651
"196",196,"CSF 9072",3904,3,25,2015-12-08 07:36:30,2.42635177128651
"197",197,"FHB 1334",4249,0,15,2015-12-08 10:11:37,2.64077066500932
"198",198,"FHB 1334",14405,0,35,2015-12-07 23:01:07,8.952765692977
"199",199,"FHB 1334",8980,0,25,2015-12-07 19:10:55,5.5811062771908
"200",200,"FHB 1334",2627,0,40,2015-12-07 17:35:52,1.63269111249223
"201",201,"FJC 9930",3624,0,25,2015-12-08 12:51:51,2.25233064014916
"202",202,"FJC 9930",3724,0,10,2015-12-08 08:46:33,2.31448104412679
"203",203,"FJC 9930",6207,3,35,2015-12-07 18:20:53,3.85767557489124
"204",204,"FJC 9930",3033,9,60,2015-12-07 16:25:50,1.88502175264139
"205",205,"FJC 9930",2765,3,10,2015-12-07 15:05:48,1.71845866998135
"206",206,"FHB 2898",3272,0,35,2015-12-08 12:16:48,2.03356121814792
"207",207,"FHB 2898",4573,0,40,2015-12-08 10:26:38,2.84213797389683
"208",208,"FHB 2898",2233,3,10,2015-12-08 09:31:35,1.38781852082039
"209",209,"FHB 2898",18162,0,25,2015-12-08 07:06:29,11.2877563704164
"210",210,"FHB 2898",1429,0,25,2015-12-07 23:11:08,0.888129272840273
"211",211,"FHB 2898",4228,3,45,2015-12-07 17:15:51,2.62771908017402
"212",212,"FHB 2898",866,3,5,2015-12-07 13:40:46,0.53822249844624
"213",213,"FFD 7841",3309,0,30,2015-12-08 00:06:09,2.05655686761964
"214",214,"FFD 7841",5206,3,25,2015-12-07 18:10:53,3.2355500310752
"215",215,"FGZ 8804",4398,0,10,2015-12-08 10:16:37,2.73337476693598
"216",216,"FGZ 8804",3205,0,40,2015-12-07 17:40:52,1.99192044748291
"217",217,"FGZ 8804",1294,0,10,2015-12-07 14:50:48,0.804226227470479
"218",218,"FBV 4382",5921,0,30,2015-12-08 09:21:35,3.67992541951523
"219",219,"FHB 0243",4153,3,25,2015-12-08 10:51:39,2.5811062771908
"220",220,"FHB 0243",3981,0,25,2015-12-07 18:25:53,2.47420758234929
"221",221,"CSG 1542",9129,0,30,2015-12-08 09:21:35,5.67371037911746
"222",222,"CSG 1542",5924,3,30,2015-12-07 18:35:54,3.68178993163456
"223",223,"CSG 1542",7191,0,20,2015-12-07 16:15:50,4.46923555003108
"224",224,"CSG 1542",7240,3,30,2015-12-07 15:15:48,4.49968924798011
"225",225,"CSG 1542",3904,0,5,2015-12-07 14:15:47,2.42635177128651
"226",226,"FGZ 8809",6671,0,25,2015-12-07 19:20:55,4.14605344934742
"227",227,"FHB 1332",5558,0,15,2015-12-08 13:06:52,3.45431945307645
"228",228,"FHB 1332",5639,0,25,2015-12-08 10:06:37,3.50466128029832
"229",229,"FHB 1332",1121,0,5,2015-12-07 15:40:49,0.696706028589186
"230",230,"FHB 1332",948,3,20,2015-12-07 14:30:47,0.589185829707893
"231",231,"FJD 0194",5447,0,10,2015-12-08 09:11:34,3.38533250466128
"232",232,"FJD 0194",5316,0,30,2015-12-07 21:56:05,3.30391547545059
"233",233,"FJD 0194",72,0,10,2015-12-07 21:36:01,0.0447482908638906
"234",234,"FJD 0194",0,0,0,2015-12-07 20:40:57,0
"235",235,"FJD 0194",4600,0,255,2015-12-07 16:20:50,2.85891858297079
"236",236,"FJD 0193",1624,3,20,2015-12-08 09:06:34,1.00932256059664
"237",237,"FBV 4470",770,0,25,2015-12-08 11:26:42,0.478558110627719
"238",238,"FBV 4470",3391,0,10,2015-12-08 08:41:33,2.10752019888129
"239",239,"FBV 4470",591,0,35,2015-12-07 19:15:55,0.367308887507769
"240",240,"FBV 4470",649,0,0,2015-12-07 13:55:47,0.403356121814792
"241",241,"FHB 1331",3135,3,10,2015-12-08 09:46:36,1.94841516469857
"242",242,"FHB 1331",3673,0,30,2015-12-08 07:16:29,2.2827843380982
"243",243,"FHB 1331",11083,0,20,2015-12-08 06:36:27,6.88812927284027
"244",244,"FHB 1331",11244,6,80,2015-12-07 17:10:51,6.98819142324425
"245",245,"FBV 4371",3674,3,20,2015-12-08 12:31:49,2.28340584213797
"246",246,"FBV 4371",4564,0,35,2015-12-08 09:21:35,2.83654443753884
"247",247,"FBV 4371",4367,0,10,2015-12-07 19:20:55,2.71410814170292
