"","address","charging","engineType","exterior","fuel","interior","name","smartPhoneRequired","vin","City","Longitude","Latitude","Altitude"
"1","E 11th St 1487, 78702 Austin",NA,"CE","GOOD",100,"GOOD","CSF 9069","FALSE","WMEEJ3BA7EK733766","austin",-97.72514,30.26766,0
"2","E 1st St 2384, 78702 Austin",NA,"CE","GOOD",24,"GOOD","FBV 4383","FALSE","WMEEJ3BAXFK799407","austin",-97.71775,30.25513,0
"3","The Enclave - 1005 W Stassney Lane - 2 Spaces",NA,"CE","GOOD",100,"GOOD","FBV 4428","FALSE","WMEEJ3BA3FK799491","austin",-97.78589,30.2098,0
"4","Krebs Ln 149, 78704 Austin",NA,"CE","GOOD",36,"GOOD","CSG 1541","FALSE","WMEEJ3BA7EK734657","austin",-97.76305,30.22566,0
"5","W 16th St 471, 78701 Austin",NA,"CE","GOOD",90,"GOOD","FJC 9793","FALSE","WMEEJ3BA6FK801945","austin",-97.74339,30.27909,0
"6","E 9th St 618, 78701 Austin",NA,"CE","GOOD",39,"GOOD","FBV 4391","FALSE","WMEEJ3BA0FK799271","austin",-97.73589,30.26927,0
"7","W 6th St 1853, 78703 Austin",NA,"CE","GOOD",15,"GOOD","CK9 T374","FALSE","WMEEJ3BA0AK417460","austin",-97.76579,30.27634,0
"8","LCRA - Trade Center Dr",NA,"CE","GOOD",30,"GOOD","FHB 2832","FALSE","WMEEJ3BA9FK801907","austin",-97.71414,30.20749,0
"9","Willow Hill Dr 2529, 78741 Austin",NA,"CE","GOOD",24,"GOOD","FHB 0201","FALSE","WMEEJ3BA9FK802121","austin",-97.72498,30.23316,0
"10","One Texas Center",NA,"CE","GOOD",45,"GOOD","FHB 2825","FALSE","WMEEJ3BA4FK802818","austin",-97.74942,30.25811,0
"11","Alameda Dr 1410, 78704 Austin",NA,"CE","GOOD",57,"GOOD","CK9 T375","FALSE","WMEEJ3BA3AK416755","austin",-97.74254,30.2474,0
"12","The Retreat at Barton Creek - South Entrance",NA,"CE","GOOD",24,"GOOD","FBV 4471","FALSE","WMEEJ3BA1FK802551","austin",-97.79195,30.23759,0
"13","Treehouse - 2501 Wickersham Lane - 3 Spaces",NA,"CE","GOOD",54,"GOOD","FHB 1675","FALSE","WMEEJ3BA3FK803216","austin",-97.72465,30.22479,0
"14","E 5th St 1768, 78702 Austin",NA,"CE","GOOD",36,"GOOD","CK9 T306","FALSE","WMEEJ3BA1AK417872","austin",-97.72461,30.26145,0
"15","Treadwell St 1245, 78704 Austin",NA,"CE","GOOD",30,"GOOD","GGG 3720","FALSE","WMEEJ3BA4FK801474","austin",-97.76094,30.25579,0
"16","S Lamar Blvd 1213, 78704 Austin",NA,"CE","GOOD",96,"GOOD","CSG 1513","FALSE","WMEEJ3BAXEK736693","austin",-97.7623,30.2543,0
"17","Manor Cir 2535, 78723 Austin",NA,"CE","GOOD",54,"GOOD","DBW 2626","FALSE","WMEEJ3BA5EK748251","austin",-97.68801,30.29699,0
"18","W 9 1/2 St 1387, 78703 Austin",NA,"CE","GOOD",21,"GOOD","CK9 T286","FALSE","WMEEJ3BA4AK416926","austin",-97.75689,30.27643,0
"19","S Congress Ave 3801, 78704 Austin",NA,"CE","GOOD",30,"GOOD","CYL 4628","FALSE","WMEEJ3BA8EK748969","austin",-97.76217,30.22586,0
"20","One Highland Center",NA,"CE","GOOD",100,"GOOD","FGZ 8617","FALSE","WMEEJ3BA0FK802525","austin",-97.71164,30.32867,0
"21","E 30th St 806, 78705 Austin",NA,"CE","GOOD",36,"GOOD","FBV 4434","FALSE","WMEEJ3BAXFK799388","austin",-97.72937,30.29035,0
"22","Brushy St 644, 78702 Austin",NA,"CE","GOOD",72,"GOOD","FHB 2829","FALSE","WMEEJ3BA9FK802796","austin",-97.73347,30.2659,0
"23","Kirkwood Rd 1481, 78722 Austin",NA,"CE","GOOD",57,"GOOD","FGZ 8624","FALSE","WMEEJ3BA5FK802777","austin",-97.71465,30.29497,0
"24","Esperanza Xing 3030, 78758 Austin",NA,"CE","GOOD",84,"GOOD","FJD 0199","FALSE","WMEEJ3BA3FK802874","austin",-97.72159,30.3991,0
"25","Jones Rd 1957, 78745 Austin",NA,"CE","GOOD",100,"GOOD","CSG 1539","FALSE","WMEEJ3BA5EK734494","austin",-97.79366,30.22054,0
"26","Willow St 1967, 78702 Austin",NA,"CE","GOOD",27,"GOOD","FHB 2856","FALSE","WMEEJ3BA0FK801410","austin",-97.72414,30.25591,0
"27","E 7th St 379, 78701 Austin",NA,"CE","GOOD",39,"GOOD","FJD 0195","FALSE","WMEEJ3BA6FK801721","austin",-97.73924,30.26802,0
"28","LCRA - Trade Center Dr",NA,"CE","GOOD",90,"GOOD","CZS 9751","FALSE","WMEEJ3BA4EK748130","austin",-97.71414,30.20749,0
"29","Creekline Dr 5092, 78745 Austin",NA,"CE","GOOD",30,"GOOD","CK9 T309","FALSE","WMEEJ3BA6AK416698","austin",-97.77638,30.21223,0
"30","Cedar St 3752, 78705 Austin",NA,"CE","GOOD",96,"GOOD","FJD 0200","FALSE","WMEEJ3BA4FK802866","austin",-97.73488,30.30088,0
"31","Dean Keaton and Whitis",NA,"CE","GOOD",78,"GOOD","FBV 4354","FALSE","WMEEJ3BA2FK799496","austin",-97.74003,30.28978,0
"32","Campbell St 568, 78703 Austin",NA,"CE","GOOD",45,"GOOD","FBV 4378","FALSE","WMEEJ3BA3FK799197","austin",-97.76445,30.27558,0
"33","One Highland Center",NA,"CE","GOOD",63,"GOOD","FGZ 8802","FALSE","WMEEJ3BA5FK801502","austin",-97.71164,30.32867,0
"34","Rabb Rd 1937, 78704 Austin",NA,"CE","GOOD",18,"GOOD","FHB 2826","FALSE","WMEEJ3BAXFK802547","austin",-97.77724,30.2544,0
"35","Mill St 824, 78702 Austin",NA,"CE","GOOD",42,"GOOD","FHB 0204","FALSE","WMEEJ3BA1FK802193","austin",-97.71913,30.26303,0
"36","Pease Rd 1464, 78703 Austin",NA,"CE","GOOD",84,"GOOD","FBV 4468","FALSE","WMEEJ3BA2FK802378","austin",-97.75917,30.28288,0
"37","Capital Metro Downtown Station",NA,"CE","GOOD",39,"GOOD","CYL 4630","FALSE","WMEEJ3BA9EK749032","austin",-97.73939,30.26512,0
"38","Campbell St 551, 78703 Austin",NA,"CE","GOOD",100,"GOOD","FHB 2865","FALSE","WMEEJ3BA3FK802468","austin",-97.76445,30.27532,0
"39","E 5th St 249, 78701 Austin",NA,"CE","GOOD",100,"GOOD","FBV 4440","FALSE","WMEEJ3BAXFK799245","austin",-97.7413,30.2666,0
"40","Stephen F Austin Dr, 78703 Austin",NA,"CE","GOOD",60,"GOOD","CZT 0999","FALSE","WMEEJ3BA4EK748886","austin",-97.77,30.27447,0
"41","Grove Blvd 1219, 78741 Austin",NA,"CE","GOOD",87,"GOOD","DBW 2627","FALSE","WMEEJ3BA3EK748698","austin",-97.70478,30.23416,0
"42","Hillside Villas Apartments 1",NA,"CE","GOOD",90,"GOOD","FBV 4358","FALSE","WMEEJ3BA2FK798395","austin",-97.72129,30.22831,0
