,m,km,miles,seconds,minutes,hours,leg,lon,lat,Name
12,55,0.055,0.034177,7,0.116666667,0.001944444,1,-97.739545,30.3281935,CSG 1541
13,1234,1.234,0.7668076,164,2.733333333,0.045555556,2,-97.739248,30.3286181,CSG 1541
14,268,0.268,0.1665352,61,1.016666667,0.016944444,3,-97.7280484,30.3231933,CSG 1541
15,87,0.087,0.0540618,9,0.15,0.0025,4,-97.7267084,30.3253097,CSG 1541
16,1175,1.175,0.730145,98,1.633333333,0.027222222,5,-97.7258821,30.325412,CSG 1541
17,176,0.176,0.1093664,10,0.166666667,0.002777778,6,-97.7155186,30.320427,CSG 1541
18,6269,6.269,3.8955566,296,4.933333333,0.082222222,7,-97.7136973,30.320323,CSG 1541
19,289,0.289,0.1795846,24,0.4,0.006666667,8,-97.7315156,30.2747316,CSG 1541
20,209,0.209,0.1298726,35,0.583333333,0.009722222,9,-97.7326437,30.2723511,CSG 1541
21,663,0.663,0.4119882,115,1.916666667,0.031944444,10,-97.7332919,30.27056,CSG 1541
22,NA,NA,NA,NA,NA,NA,NA,-97.7398512,30.272412,CSG 1541
23,129,0.129,0.0801606,51,0.85,0.014166667,1,-97.7400456,30.2897081,FJC 9793
24,654,0.654,0.4063956,98,1.633333333,0.027222222,2,-97.7413871,30.2898166,FJC 9793
25,881,0.881,0.5474534,169,2.816666667,0.046944444,3,-97.7427992,30.2953853,FJC 9793
26,183,0.183,0.1137162,23,0.383333333,0.006388889,4,-97.7503776,30.2996847,FJC 9793
27,627,0.627,0.3896178,84,1.4,0.023333333,5,-97.7512199,30.298222,FJC 9793
28,5560,5.56,3.454984,237,3.95,0.065833333,6,-97.7570054,30.3004694,FJC 9793
29,316,0.316,0.1963624,34,0.566666667,0.009444444,7,-97.7495078,30.3489408,FJC 9793
30,503,0.503,0.3125642,67,1.116666667,0.018611111,8,-97.7483772,30.3516095,FJC 9793
31,600,0.6,0.37284,76,1.266666667,0.021111111,9,-97.7531234,30.3534595,FJC 9793
32,NA,NA,NA,NA,NA,NA,NA,-97.7507914,30.3583409,FJC 9793
33,33,0.033,0.0205062,3,0.05,0.000833333,1,-97.729715,30.2758752,FBV 4391
34,25,0.025,0.015535,25,0.416666667,0.006944444,2,-97.7297712,30.2761698,FBV 4391
35,385,0.385,0.239239,87,1.45,0.024166667,3,-97.7300261,30.2761304,FBV 4391
36,2582,2.582,1.6044548,130,2.166666667,0.036111111,4,-97.7287394,30.2791766,FBV 4391
37,156,0.156,0.0969384,12,0.2,0.003333333,5,-97.7163417,30.2997079,FBV 4391
38,1085,1.085,0.674219,77,1.283333333,0.021388889,6,-97.715208,30.3007051,FBV 4391
39,310,0.31,0.192634,45,0.75,0.0125,7,-97.7080424,30.2945503,FBV 4391
40,68,0.068,0.0422552,23,0.383333333,0.006388889,8,-97.7051283,30.2941913,FBV 4391
41,NA,NA,NA,NA,NA,NA,NA,-97.705128,30.2948041,FBV 4391
42,68,0.068,0.0422552,24,0.4,0.006666667,1,-97.705128,30.2948041,FBV 4391
43,254,0.254,0.1578356,45,0.75,0.0125,2,-97.7051283,30.2941913,FBV 4391
44,1294,1.294,0.8040916,160,2.666666667,0.044444444,3,-97.7077763,30.2941527,FBV 4391
45,42,0.042,0.0260988,9,0.15,0.0025,4,-97.7157093,30.3026856,FBV 4391
46,242,0.242,0.1503788,19,0.316666667,0.005277778,5,-97.715935,30.3023574,FBV 4391
47,3751,3.751,2.3308714,183,3.05,0.050833333,6,-97.7164255,30.3002593,FBV 4391
48,168,0.168,0.1043952,14,0.233333333,0.003888889,7,-97.7331504,30.2699518,FBV 4391
49,325,0.325,0.201955,57,0.95,0.015833333,8,-97.7340122,30.268675,FBV 4391
50,786,0.786,0.4884204,148,2.466666667,0.041111111,9,-97.7350266,30.265884,FBV 4391
51,327,0.327,0.2031978,76,1.266666667,0.021111111,10,-97.742813,30.268066,FBV 4391
52,195,0.195,0.121173,61,1.016666667,0.016944444,11,-97.7438459,30.2652644,FBV 4391
53,NA,NA,NA,NA,NA,NA,NA,-97.7457795,30.265805,FBV 4391
54,312,0.312,0.1938768,42,0.7,0.011666667,1,-97.7747673,30.2080826,FHB 0201
55,100,0.1,0.06214,17,0.283333333,0.004722222,2,-97.777471,30.2096404,FHB 0201
56,154,0.154,0.0956956,25,0.416666667,0.006944444,3,-97.7770935,30.2104632,FHB 0201
57,305,0.305,0.189527,57,0.95,0.015833333,4,-97.778605,30.2108224,FHB 0201
58,NA,NA,NA,NA,NA,NA,NA,-97.7762146,30.21253,FHB 0201
59,197,0.197,0.1224158,35,0.583333333,0.009722222,1,-97.7693134,30.2554262,FHB 2825
60,1200,1.2,0.74568,170,2.833333333,0.047222222,2,-97.7710873,30.2563004,FHB 2825
61,490,0.49,0.304486,65,1.083333333,0.018055556,3,-97.7772407,30.246912,FHB 2825
62,1803,1.803,1.1203842,188,3.133333333,0.052222222,4,-97.7813252,30.2443034,FHB 2825
63,369,0.369,0.2292966,30,0.5,0.008333333,5,-97.7885413,30.229629,FHB 2825
64,359,0.359,0.2230826,16,0.266666667,0.004444444,6,-97.7851686,30.2280336,FHB 2825
65,2256,2.256,1.4018784,80,1.333333333,0.022222222,7,-97.7814889,30.2277601,FHB 2825
66,8670,8.67,5.387538,299,4.983333333,0.083055556,8,-97.7603813,30.2208753,FHB 2825
67,NA,NA,NA,NA,NA,NA,NA,-97.6746047,30.2212319,FHB 2825
68,868,0.868,0.5393752,103,1.716666667,0.028611111,1,-97.7516555,30.3558293,FBV 4471
69,292,0.292,0.1814488,64,1.066666667,0.017777778,2,-97.7469754,30.3617355,FBV 4471
70,3394,3.394,2.1090316,379,6.316666667,0.105277778,3,-97.7440583,30.3612015,FBV 4471
71,1163,1.163,0.7226882,117,1.95,0.0325,4,-97.7134209,30.3469806,FBV 4471
72,887,0.887,0.5511818,82,1.366666667,0.022777778,5,-97.7189608,30.337741,FBV 4471
73,432,0.432,0.2684448,49,0.816666667,0.013611111,6,-97.7156327,30.3303622,FBV 4471
74,174,0.174,0.1081236,67,1.116666667,0.018611111,7,-97.7111645,30.3306774,FBV 4471
75,NA,NA,NA,NA,NA,NA,NA,-97.7110504,30.3291221,FBV 4471
76,54,0.054,0.0335556,14,0.233333333,0.003888889,1,-97.7391732,30.260729,GGG 3720
77,204,0.204,0.1267656,74,1.233333333,0.020555556,2,-97.7390062,30.261196,GGG 3720
78,1420,1.42,0.882388,154,2.566666667,0.042777778,3,-97.736986,30.260624,GGG 3720
79,582,0.582,0.3616548,59,0.983333333,0.016388889,4,-97.7357879,30.2481136,GGG 3720
80,952,0.952,0.5915728,96,1.6,0.026666667,5,-97.7309337,30.2452953,GGG 3720
81,832,0.832,0.5170048,92,1.533333333,0.025555556,6,-97.7258363,30.2379849,GGG 3720
82,210,0.21,0.130494,42,0.7,0.011666667,7,-97.7299038,30.2314092,GGG 3720
83,NA,NA,NA,NA,NA,NA,NA,-97.7280004,30.2304862,GGG 3720
84,173,0.173,0.1075022,39,0.65,0.010833333,1,-97.7280004,30.2304862,GGG 3720
85,495,0.495,0.307593,61,1.016666667,0.016944444,2,-97.726425,30.2297392,GGG 3720
86,2192,2.192,1.3621088,190,3.166666667,0.052777778,3,-97.7238083,30.2334184,GGG 3720
87,1228,1.228,0.7630792,131,2.183333333,0.036388889,4,-97.7034758,30.2248747,GGG 3720
88,557,0.557,0.3461198,69,1.15,0.019166667,5,-97.697334,30.2345549,GGG 3720
89,155,0.155,0.096317,19,0.316666667,0.005277778,6,-97.7021381,30.2372171,GGG 3720
90,NA,NA,NA,NA,NA,NA,NA,-97.7033937,30.236557,GGG 3720
91,1060,1.06,0.658684,139,2.316666667,0.038611111,1,-97.7686698,30.2352224,CSG 1513
92,804,0.804,0.4996056,104,1.733333333,0.028888889,2,-97.7643156,30.2439181,CSG 1513
93,3102,3.102,1.9275828,359,5.983333333,0.099722222,3,-97.7699655,30.2484263,CSG 1513
94,1093,1.093,0.6791902,124,2.066666667,0.034444444,4,-97.7539935,30.2715396,CSG 1513
95,1,0.001,0.0006214,4,0.066666667,0.001111111,5,-97.76422,30.275769,CSG 1513
96,NA,NA,NA,NA,NA,NA,NA,-97.7642241,30.2757629,CSG 1513
97,1,0.001,0.0006214,0,0,0,1,-97.7642241,30.2757629,CSG 1513
98,239,0.239,0.1485146,30,0.5,0.008333333,2,-97.76422,30.275769,CSG 1513
99,406,0.406,0.2522884,54,0.9,0.015,3,-97.7663746,30.2768402,CSG 1513
100,38,0.038,0.0236132,10,0.166666667,0.002777778,4,-97.7704765,30.2772715,CSG 1513
101,604,0.604,0.3753256,37,0.616666667,0.010277778,5,-97.770306,30.2770798,CSG 1513
102,2351,2.351,1.4609114,221,3.683333333,0.061388889,6,-97.7656322,30.2735508,CSG 1513
103,824,0.824,0.5120336,114,1.9,0.031666667,7,-97.7450226,30.2635113,CSG 1513
104,NA,NA,NA,NA,NA,NA,NA,-97.7470931,30.2565639,CSG 1513
105,65,0.065,0.040391,6,0.1,0.001666667,1,-97.7568412,30.2763591,CK9 T286
106,94,0.094,0.0584116,21,0.35,0.005833333,2,-97.7562459,30.276081,CK9 T286
107,105,0.105,0.065247,25,0.416666667,0.006944444,3,-97.7557846,30.2768297,CK9 T286
108,174,0.174,0.1081236,30,0.5,0.008333333,4,-97.7548201,30.2763772,CK9 T286
109,298,0.298,0.1851772,48,0.8,0.013333333,5,-97.7541685,30.2778416,CK9 T286
110,61,0.061,0.0379054,14,0.233333333,0.003888889,6,-97.753736,30.2803059,CK9 T286
111,2151,2.151,1.3366314,246,4.1,0.068333333,7,-97.7531659,30.2800661,CK9 T286
